location,lat,lon,dist_to_school_km,dist_to_hospital_km,dist_to_transit_km
Cunningham Road,12.9857312,77.5960537,0.6520540592966467,0.28988297416094105,0.18226853937581783
D Group Employees Layout,12.9777008,77.4987763,1.6950767187742286,1.1208347471676157,0.06103297939451008
D Souza Layout,12.9696296,77.5968003,0.20521702152704133,0.40853976271931774,0.2738487279071857
DUO Layout,12.869333,77.6403046,0.24929594561497642,0.5609490799582705,1.1283076052519672
Dairy Circle,12.9371279,77.6017492,0.23327958239000535,0.48372335431057417,0.045469192387181764
Dasanapura,12.7467724,77.7742876,2.8042632384941397,1.5804499098115483,2.7686573650580377
Dasappa Layout,13.0828573,77.6491865,1.996690292872502,1.5524115838361519,0.46196451602914523
Dasarahalli,13.0432607,77.5125535,1.7313182787652242,0.15439513593178594,0.06007366667731634
Deepanjali Nagar,12.9520466,77.5370399,0.7231018680111357,0.1274252792844952,0.003249830031800311
Defence Colony,12.976171,77.6435315,0.20765643628266772,0.10668154206778818,0.34384527475752386
Defence Layout,13.0598706,77.5851779,0.5923994864847407,0.2151196354422667,0.30754635709196537
Dena Bank Colony,12.9600676,77.6447244,0.4562110388133753,0.4454149492725789,0.13473945132268422
Devanahalli,13.142344,77.7339688,,1.284534894489931,0.5108250171089255
Devanahalli Road,13.1424106,77.7340989,,1.274730303566862,0.5223279199956383
Devarabisanahalli,12.9234847,77.6869662,0.4911593724014503,0.9993799148100817,0.8063548121699141
Devarachikkanahalli,12.8931539,77.6219724,0.23613605574778754,0.24188159704806456,0.4494674896338274
Devasandra Extension,13.0219498,77.5722288,0.9684313152933252,0.748848058595715,2.1365868842544558
Devi Nagar,13.0161096,77.5288243,1.2308574625058986,0.8847201837505813,0.11323620954488105
Dhanalakshmi Layout,12.9724999,77.651454,0.18382977422077978,0.07426929892697058,0.06826837244014933
Dinnur,13.0268586,77.5985884,0.08357816579528207,0.0792588398504726,0.31715144653045074
Doctors Layout,13.0053365,77.6581854,0.12129833346670942,0.15393721856649484,0.15959994688271126
Dodda Banaswadi,13.0129976,77.6493207,0.5340044032108727,0.12067528347557388,1.4673105693593382
