location,lat,lon,dist_to_school_km,dist_to_hospital_km,dist_to_transit_km,location_price
Hoodi,12.9959233,77.7192796,0.3892118110996679,1.0030747810000276,0.0340530115309367,0.055714285714285716
Brookefield,12.9652094,77.717936,0.3008872575702131,0.0373992687883322,0.0310786415038237,0.05992957746478873
Yelenahalli,12.8646227,77.6081639,0.825280551731642,0.953626673821954,0.9205026251346132,0.03835625
Richmond Town,12.963555,77.6015856,0.5015668300732825,0.2474399159867237,0.3251300371828557,0.09985207100591716
Suddaguntepalya,12.931045,77.6098888,0.1218229854434826,0.4794187738039972,1.5952006904274874,0.03929824561403509
Vittasandra,12.8699226,77.6272278,0.3692418156333539,0.9247880845075064,0.472493932785731,0.053418803418803416
Thippasandra,12.973936,77.6509982,0.0423899006076371,0.0965293194211549,0.1529954342656829,0.10606060606060605
Chikkabidarakallu,13.0523616,77.4879154,2.138947769989996,1.7980967428762735,0.0200418266531437,0.09821698398307646
Defence Colony,12.976171,77.6435315,0.2076564362826677,0.1066815420677881,0.3438452747575238,0.13035714285714287
2nd Stage Nagarbhavi,12.9512353,77.519054,0.6719239127411085,0.27244649864545,0.1725955228275265,0.1875
Vidyaranyapura,13.0766407,77.5577315,0.0882323530856943,0.0568587738368145,0.0559282982456798,0.04909090909090909
Amruthahalli,13.0648426,77.5993429,0.6719239127411085,0.27244649864545,0.1725955228275265,0.048701298701298704
Kodigehalli,13.0031666,77.7272835,1.3341155333896064,1.1570131214671862,0.0755353883224196,0.0790406924325299
Ring Road Nagarbhavi,12.9605743,77.5127492,0.6168618785384404,0.1386985795851188,0.0443524824645863,0.04895833333333333
NS Palya,12.9089511,77.6035005,0.1026234328427204,0.1845914693380826,0.0383114590561293,0.08
Subramanyapura,12.8992578,77.5321721,1.136546111340634,0.8850959120596756,0.5123876054084918,0.05489773950484392
Basavangudi,12.9421868,77.5742576,0.6719239127411085,0.27244649864545,0.1725955228275265,0.09904761904761905
3rd Block Hrbr Layout,13.0255533,77.6313982,0.6719239127411085,0.27244649864545,0.1725955228275265,0.07896270396270397
Bank Avenue,13.0225678,77.6527986,0.6719239127411085,0.27244649864545,0.1725955228275265,0.0495
Surabhi Layout,13.0930374,77.6002443,1.6877638795426049,0.5683983973454702,0.0797794261506827,0.05979522117927709
Banjara Layout,13.0383011,77.6652515,0.6719239127411085,0.27244649864545,0.1725955228275265,0.061714285714285715
Omkar Nagar,12.89,77.5973052,0.6951005885633506,0.1183360558757526,0.0712594278805898,0.04927777777777778
Kereguddadahalli,13.0794507,77.5155027,2.5272249055677523,0.9809704147769334,1.1930317428081252,0.03306451612903226
Maragondanahalli,13.0376489,77.6922232,1.639580594345309,1.3553045998863238,0.1725955228275265,0.052054794520547946
Silk Board,12.9167139,77.6214094,0.4856457828163513,0.2358501759563697,0.0359537407042091,0.04250592334494774
Kada Agrahara,13.0815052,77.69505,0.6719239127411085,0.27244649864545,0.380248871889885,0.0374331550802139
Kambipura,12.8822711,77.4606466,1.8098256820534289,1.5381636044527405,0.2098459212553741,0.0443213296398892
BHEL Layout,12.9184375,77.5092496,0.6719239127411085,0.27244649864545,0.1725955228275265,0.13333333333333333
Medahalli,13.0278454,77.7206079,0.6719239127411085,1.0953393013345307,0.1708764723355801,0.03535353535353535
Kashi Nagar,13.0084602,77.6609259,0.3042304962532791,0.3191923656913808,0.3036283521331368,0.03529411764705882
Sector 7 HSR Layout,12.9093675,77.6407794,0.4203904392308081,0.358826247340909,0.1740502984918539,0.0850042992261393
Ittamadu,12.9233593,77.5418698,1.0206396586495792,0.2308659361886501,0.1598653674177515,0.0625
Rajiv Nagar,13.0529919,77.5842533,1.2356090561938042,0.6030273866895369,0.6758674863599148,0.06837606837606838
Gattahalli,12.8685628,77.7026913,2.5061358666131373,0.27244649864545,0.8272711796475193,0.04915322580645161
Arekere,12.8872086,77.5960493,0.6719239127411085,0.27244649864545,0.1725955228275265,0.052123552123552123
Mico Layout,12.9129858,77.6037799,0.1269519513961517,0.0348839091427578,0.389468007187397,0.041935483870967745
7th Block Jayanagar,12.92375,77.5742597,0.6719239127411085,0.27244649864545,0.1725955228275265,0.17
2nd Phase JP Nagar,12.9107357,77.5829631,0.6719239127411085,0.27244649864545,0.1725955228275265,0.0732142857142857
Kammanahalli,13.0148544,77.6382029,0.4534203713407507,0.2618934398656549,0.1594355321258847,0.06823275862068966
K G Colony,13.027497,77.5869989,0.4802024486743761,0.0780704811270323,0.0885559001067296,0.03125
Banashankari,12.9278196,77.556621,0.6719239127411085,0.27244649864545,0.1725955228275265,0.059565551325719626
