location,lat,lon
HAL 2nd Stage,12.9689409,77.6437106
HAL 3rd Stage,12.9715338,77.6497819
HAL Layout,12.9599648,77.6503055
HBR Layout,13.031992,77.6280789
HMT Layout,13.0276524,77.5921251
HOSUR MAIN ROAD,12.9419903,77.5973807
HOSUR RMAIN ROAD,,
HRBR Layout,13.0141515,77.6340564
HSR Layout,12.9116225,77.6388622
"HSR Layout 7th sector,",12.9193616,77.6511843
Hadosiddapura,12.8964727,77.7014674
Hagadur,12.9649204,77.7558746
Hal old airport road,12.9605468,77.6418995
Halanayakanahalli,12.8966653,77.6855489
Hallehalli,,
Handenahalli,12.8259815,77.7673455
Hanumagiri,12.9180648,77.5363702
Hanuman Nagar,12.9700949,77.6561147
Hanumanth Nagar,12.9473478,77.5634776
Hanumantha Nagar,12.940641,77.5635429
Haralur Road,12.9018012,77.6641767
"Haralur Road,",12.9018012,77.6641767
Harappanahalli,12.7764978,77.6326204
Harlur,12.9058923,77.675465
Harohalli,13.1305028,77.5804603
Harsha Layout,12.9629824,77.3896189
Havanur extension,,
Hebbal,13.0382184,77.5919
Hebbal Kempapura,13.050194,77.6075951
Hegde Nagar,13.0720352,77.6333905
Hegganahalli,13.0034737,77.5107376
Hennagara,12.7906876,77.6741161
Hennur,13.037077,77.6413572
Hennur Bande,13.0367255,77.6405042
Hennur Busstop,,
Hennur Gardens,13.0376905,77.6432902
Hennur Road,13.0351224,77.631944
Herohalli,12.9912345,77.4870119
Hessarghatta,13.0484259,77.5076232
High grounds,12.9865133,77.5830766
Himagiri Meadows,12.8963003,77.5894113
Hiremath Layout,12.9754354,77.5358965
Hommadevanahalli,12.8443528,77.5981019
Hongasandra,12.8986261,77.6286732
Hoodi,12.9959233,77.7192796
"Hoodi Circle,",12.9919623,77.7154228
Hoodi Layout,12.9937325,77.7171734
Horamavu Agara,13.0367725,77.6549479
Horamavu Banaswadi,13.0190926,77.6556774
Hormavu,,
Hosa Road,12.8704543,77.6539943
Hosahalli,12.9660431,77.5414979
Hosahalli Extension,,
Hosakerehalli,12.9299371,77.5374237
Hosakerehalli Layout,12.934592,77.5423407
Hosapalya,12.8974222,77.6496873
Hoskote,13.0318443,77.7618779
Hoskote near,,
Hosur Road,12.910142,77.6270827
Howthinarayanappa Garden,,
Hoysalanagar,,
Hsr layout sector3,,
Hulimavu,12.8773486,77.6028031
Hullahalli,12.8244922,77.6175213
Hunasamaranahalli,13.1398615,77.6230512
Huskur,12.8607674,77.7071019
Huttanahalli,,
ISRO Layout,12.8974283,77.5573828
ITI Employees Layout,,
ITI Layout,12.9665733,77.5016708
ITPL,12.9846295,77.7377329
Iblur Village,,
Iggalur,12.781144,77.7014486
Ilyas Nagar,12.9070386,77.569309
Immadihalli,12.9663991,77.762046
Indira Nagar,12.9732913,77.6404672
Indira Nagar 3rd Stage,12.9768429,77.6465919
Indira Nagar Stage 2,12.9732913,77.6404672
Indiranagar HAL 2nd Stage,12.9702598,77.6451261
Indra Nagar,,
Indranagar  100ft road defence colony,,
Infantry Road,12.9800074,77.6050137
Ittamadu,12.9233593,77.5418698
J C Nagar,15.3508066,75.1420273
J P Nagar 7th Phase Ramayya City,,
J.P.nagar 6th Phase.Sarakki Nagar,,
JCR Layout,12.933134,77.7043284
JP Nagar,12.9096941,77.5866067
"JP Nagar 7th Phase,",12.9118423,77.5870665
"JP Nagar 8th Phase,",12.9104062,77.5951099
"JP nagar 9th Phase,",12.8681419,77.5628221
Jagadish Nagar,12.9650798,77.6646521
